iter	MultiClass
0	1.242261401
1	1.194287209
2	1.158454116
3	1.131111285
4	1.110162245
5	1.088204
6	1.069154075
7	1.050666865
8	1.032341571
9	1.024720575
10	1.011305395
11	1.002492444
12	0.9912451921
13	0.9804465188
14	0.9711110558
15	0.9578526185
16	0.9455537778
17	0.9378831462
18	0.9298759165
19	0.9231614595
20	0.9153854662
21	0.9101401438
22	0.904181203
23	0.8998051707
24	0.8931209451
25	0.8878230448
26	0.8830206422
27	0.8756278137
28	0.8703728286
29	0.8647903452
30	0.8590800056
31	0.8536628924
32	0.8484434452
33	0.8445797101
34	0.8393315959
35	0.8358434669
36	0.8320297871
37	0.8297144611
38	0.8229890818
39	0.819411325
40	0.816574959
41	0.8102654699
42	0.8069348977
43	0.8018443321
44	0.7988967958
45	0.7963590983
46	0.7924104611
47	0.7893821396
48	0.7864757478
49	0.7833376135
50	0.7798480163
51	0.7765671261
52	0.7737361713
53	0.7708873056
54	0.76726693
55	0.7642805884
56	0.7616864314
57	0.7588374665
58	0.7554611111
59	0.7527996586
60	0.7503274629
61	0.7478899419
62	0.7457173757
63	0.7422837772
64	0.7402927877
65	0.7387376582
66	0.7369264667
67	0.7356390545
68	0.7335813947
69	0.7311887902
70	0.7290331247
71	0.7270602395
72	0.7256832105
73	0.7240466785
74	0.7217992912
75	0.7201661784
76	0.7165582479
77	0.714685644
78	0.7117504591
79	0.7099249121
80	0.7078307735
81	0.7033792322
82	0.7011237632
83	0.6994319875
84	0.6970157179
85	0.6950046795
86	0.6929525963
87	0.691522785
88	0.6899890549
89	0.6885834633
90	0.6859249729
91	0.684540856
92	0.6828344192
93	0.681175364
94	0.6791405104
95	0.6782281201
96	0.6752561737
97	0.6741110945
98	0.6725257415
99	0.6708720591
100	0.6690694209
101	0.6675723361
102	0.6649575561
103	0.6631890393
104	0.6619920152
105	0.6604857568
106	0.6596019416
107	0.6580655346
108	0.6570349612
109	0.6560904046
110	0.6547638439
111	0.6537452435
112	0.6517899755
113	0.6505949562
114	0.6496649136
115	0.6480586404
116	0.647082725
117	0.6452802944
118	0.6443603545
119	0.6438812926
120	0.6424827589
121	0.6408552869
122	0.6397225501
123	0.6385158689
124	0.6367455217
125	0.6358940919
126	0.6352760006
127	0.6337799751
128	0.6326567975
129	0.6318243445
130	0.6307168536
131	0.6298321051
132	0.6289022247
133	0.6281181296
134	0.6267618859
135	0.6247209331
136	0.62393923
137	0.62287807
138	0.6217875157
139	0.6208101151
140	0.6195584436
141	0.6186392958
142	0.6168261983
143	0.6156188773
144	0.615089843
145	0.6144664455
146	0.6133988225
147	0.6115658378
148	0.6091267701
149	0.608168369
150	0.6066383341
151	0.6056511492
152	0.6044292519
153	0.6036665046
154	0.6026090047
155	0.6008584191
156	0.5989452229
157	0.5985930241
158	0.5973779861
159	0.5964557254
160	0.5954481153
161	0.5948332951
162	0.59383705
163	0.5931047695
164	0.5920121734
165	0.5901912331
166	0.5888697004
167	0.5885579866
168	0.5876775746
169	0.5867724119
170	0.5858224429
171	0.5842171086
172	0.5833275605
173	0.5825265114
174	0.5813268197
175	0.5798994035
176	0.579590687
177	0.5790892222
178	0.5782154759
179	0.577396505
180	0.5767530202
181	0.576324718
182	0.5754981941
183	0.5748474782
184	0.5737289056
185	0.5731572985
186	0.5719110072
187	0.5714572477
